state_number,state_name,consecutive_number,number_of_fatalities
1,Alabama,10527,1
1,Alabama,10378,1
1,Alabama,10082,1
1,Alabama,10536,1
1,Alabama,10782,1
1,Alabama,10632,1
1,Alabama,10447,1
1,Alabama,10330,1
1,Alabama,10252,1
1,Alabama,10646,1
1,Alabama,10475,1
1,Alabama,10325,1
1,Alabama,10192,1
1,Alabama,10092,1
1,Alabama,10058,1
1,Alabama,10216,1
1,Alabama,10262,1
1,Alabama,10249,1
1,Alabama,10013,1
1,Alabama,10245,1
1,Alabama,10684,1
1,Alabama,10657,1
1,Alabama,10363,1
1,Alabama,10115,1
1,Alabama,10725,1
1,Alabama,10390,1
1,Alabama,10101,1
1,Alabama,10210,1
1,Alabama,10488,1
1,Alabama,10443,1
1,Alabama,10480,1
1,Alabama,10006,1
1,Alabama,10344,1
1,Alabama,10633,1
1,Alabama,10435,1
1,Alabama,10288,1
1,Alabama,10061,1
1,Alabama,10227,1
1,Alabama,10591,1
1,Alabama,10204,1
1,Alabama,10613,1
1,Alabama,10327,1
1,Alabama,10063,1
1,Alabama,10430,1
1,Alabama,10019,1
1,Alabama,10014,1
1,Alabama,10028,1
1,Alabama,10239,1
1,Alabama,10540,1
1,Alabama,10771,1
1,Alabama,10191,1
1,Alabama,10078,1
1,Alabama,10448,1
1,Alabama,10068,1
1,Alabama,10345,1
1,Alabama,10015,1
1,Alabama,10231,1
1,Alabama,10236,1
1,Alabama,10481,1
1,Alabama,10700,1
1,Alabama,10600,1
1,Alabama,10437,1
1,Alabama,10243,1
1,Alabama,10431,1
1,Alabama,10689,1
1,Alabama,10748,1
1,Alabama,10399,1
1,Alabama,10559,1
1,Alabama,10264,1
1,Alabama,10547,1
1,Alabama,10369,1
1,Alabama,10734,1
1,Alabama,10162,1
1,Alabama,10072,1
1,Alabama,10050,1
1,Alabama,10073,1
1,Alabama,10031,1
1,Alabama,10715,1
1,Alabama,10585,1
1,Alabama,10008,1
1,Alabama,10413,1
1,Alabama,10582,1
1,Alabama,10713,1
1,Alabama,10529,1
1,Alabama,10247,1
1,Alabama,10647,1
1,Alabama,10300,1
1,Alabama,10670,1
1,Alabama,10148,1
1,Alabama,10282,1
1,Alabama,10069,1
1,Alabama,10552,1
1,Alabama,10728,1
1,Alabama,10528,1
1,Alabama,10137,1
1,Alabama,10736,1
1,Alabama,10064,1
1,Alabama,10414,1
1,Alabama,10498,1
1,Alabama,10766,1
1,Alabama,10088,1
1,Alabama,10206,1
1,Alabama,10629,1
1,Alabama,10661,1
1,Alabama,10283,1
1,Alabama,10471,1
1,Alabama,10298,1
1,Alabama,10565,1
1,Alabama,10077,1
1,Alabama,10446,1
1,Alabama,10769,1
1,Alabama,10609,1
1,Alabama,10445,1
1,Alabama,10662,1
1,Alabama,10783,1
1,Alabama,10224,1
1,Alabama,10702,1
1,Alabama,10756,1
1,Alabama,10124,1
1,Alabama,10442,1
1,Alabama,10429,1
1,Alabama,10533,1
1,Alabama,10256,1
1,Alabama,10543,1
1,Alabama,10708,1
1,Alabama,10639,1
1,Alabama,10489,1
1,Alabama,10090,1
1,Alabama,10674,1
1,Alabama,10465,1
1,Alabama,10131,1
1,Alabama,10449,1
1,Alabama,10520,1
1,Alabama,10590,1
1,Alabama,10292,1
1,Alabama,10758,1
1,Alabama,10183,1
1,Alabama,10757,1
1,Alabama,10098,1
1,Alabama,10160,1
1,Alabama,10128,1
1,Alabama,10040,1
1,Alabama,10622,1
1,Alabama,10735,1
1,Alabama,10042,1
1,Alabama,10059,1
1,Alabama,10178,1
1,Alabama,10055,1
1,Alabama,10669,1
1,Alabama,10381,1
1,Alabama,10569,1
1,Alabama,10113,1
1,Alabama,10357,1
1,Alabama,10426,1
1,Alabama,10208,1
1,Alabama,10550,1
1,Alabama,10738,1
1,Alabama,10291,1
1,Alabama,10365,1
1,Alabama,10476,1
1,Alabama,10268,1
1,Alabama,10564,1
1,Alabama,10599,1
1,Alabama,10597,1
1,Alabama,10618,1
1,Alabama,10524,1
1,Alabama,10563,1
1,Alabama,10185,1
1,Alabama,10627,1
1,Alabama,10742,1
1,Alabama,10780,1
1,Alabama,10035,1
1,Alabama,10287,1
1,Alabama,10091,1
1,Alabama,10472,1
1,Alabama,10299,1
1,Alabama,10343,1
1,Alabama,10280,1
1,Alabama,10263,1
1,Alabama,10012,1
1,Alabama,10259,1
1,Alabama,10129,1
1,Alabama,10265,1
1,Alabama,10075,1
1,Alabama,10521,1
1,Alabama,10329,1
1,Alabama,10588,1
1,Alabama,10250,1
1,Alabama,10451,1
1,Alabama,10342,1
1,Alabama,10651,1
1,Alabama,10450,1
1,Alabama,10502,1
1,Alabama,10546,1
1,Alabama,10677,1
1,Alabama,10359,1
1,Alabama,10664,1
1,Alabama,10179,1
1,Alabama,10478,1
1,Alabama,10116,1
1,Alabama,10717,1
1,Alabama,10114,1
1,Alabama,10554,1
1,Alabama,10553,1
1,Alabama,10525,1
1,Alabama,10054,1
1,Alabama,10267,1
1,Alabama,10322,1
1,Alabama,10464,1
1,Alabama,10460,1
1,Alabama,10507,1
1,Alabama,10174,1
1,Alabama,10730,1
1,Alabama,10393,1
1,Alabama,10469,1
1,Alabama,10143,1
1,Alabama,10065,1
1,Alabama,10109,1
1,Alabama,10474,1
1,Alabama,10389,1
1,Alabama,10244,1
1,Alabama,10349,1
1,Alabama,10595,1
1,Alabama,10241,1
1,Alabama,10284,1
1,Alabama,10491,1
1,Alabama,10420,1
1,Alabama,10727,1
1,Alabama,10578,1
1,Alabama,10560,1
1,Alabama,10130,1
1,Alabama,10011,1
1,Alabama,10499,1
1,Alabama,10203,1
1,Alabama,10225,1
1,Alabama,10501,1
1,Alabama,10607,1
1,Alabama,10016,1
1,Alabama,10314,1
1,Alabama,10672,1
1,Alabama,10623,1
1,Alabama,10126,1
1,Alabama,10269,1
1,Alabama,10107,1
1,Alabama,10145,1
1,Alabama,10454,1
1,Alabama,10418,1
1,Alabama,10086,1
1,Alabama,10071,1
1,Alabama,10494,1
1,Alabama,10403,1
1,Alabama,10537,1
1,Alabama,10374,1
1,Alabama,10466,1
1,Alabama,10170,1
1,Alabama,10650,1
1,Alabama,10337,1
1,Alabama,10722,1
1,Alabama,10778,1
1,Alabama,10266,1
1,Alabama,10193,1
1,Alabama,10614,1
1,Alabama,10117,1
1,Alabama,10352,1
1,Alabama,10169,1
1,Alabama,10440,1
1,Alabama,10034,1
1,Alabama,10681,1
1,Alabama,10640,1
1,Alabama,10285,1
1,Alabama,10545,1
1,Alabama,10645,1
1,Alabama,10304,1
1,Alabama,10691,1
1,Alabama,10258,1
1,Alabama,10010,1
1,Alabama,10532,1
1,Alabama,10198,1
1,Alabama,10211,1
1,Alabama,10395,1
1,Alabama,10703,1
1,Alabama,10333,1
1,Alabama,10391,1
1,Alabama,10319,1
1,Alabama,10610,1
1,Alabama,10027,1
1,Alabama,10707,1
1,Alabama,10750,1
1,Alabama,10405,1
1,Alabama,10675,1
1,Alabama,10409,1
1,Alabama,10141,1
1,Alabama,10497,1
1,Alabama,10712,1
1,Alabama,10655,1
1,Alabama,10353,1
1,Alabama,10144,1
1,Alabama,10421,1
1,Alabama,10635,1
1,Alabama,10272,1
1,Alabama,10177,1
1,Alabama,10549,1
1,Alabama,10309,1
1,Alabama,10364,1
1,Alabama,10207,1
1,Alabama,10214,1
1,Alabama,10680,1
1,Alabama,10384,1
1,Alabama,10134,1
1,Alabama,10347,1
1,Alabama,10067,1
1,Alabama,10253,1
1,Alabama,10279,1
1,Alabama,10194,1
1,Alabama,10594,1
1,Alabama,10139,1
1,Alabama,10350,1
1,Alabama,10372,1
1,Alabama,10410,1
1,Alabama,10197,1
1,Alabama,10387,1
1,Alabama,10189,1
1,Alabama,10688,1
1,Alabama,10636,1
1,Alabama,10120,1
1,Alabama,10626,1
1,Alabama,10686,1
1,Alabama,10397,1
1,Alabama,10754,1
1,Alabama,10683,1
1,Alabama,10761,1
1,Alabama,10721,1
1,Alabama,10133,1
1,Alabama,10663,1
1,Alabama,10571,1
1,Alabama,10441,1
1,Alabama,10416,1
1,Alabama,10084,1
1,Alabama,10320,1
