state_number,state_name,accident_count,ratio_per_10k,state_code
1,Alabama,784,1.61,AL
2,Alaska,60,0.81,AK
4,Arizona,811,1.19,AZ
5,Arkansas,491,1.65,AR
6,California,3123,0.8,CA
8,Colorado,507,0.93,CO
9,Connecticut,257,0.72,CT
10,Delaware,127,1.34,DE
11,District of Columbia,23,0.34,DC
12,Florida,2699,1.33,FL
13,Georgia,1329,1.3,GA
15,Hawaii,85,0.59,HI
16,Idaho,198,1.2,ID
17,Illinois,914,0.71,IL
18,Indiana,752,1.14,IN
19,Iowa,282,0.9,IA
20,Kansas,322,1.11,KS
21,Kentucky,694,1.57,KY
22,Louisiana,698,1.49,LA
23,Maine,144,1.08,ME
24,Maryland,479,0.8,MD
25,Massachusetts,328,0.48,MA
26,Michigan,896,0.9,MI
27,Minnesota,375,0.68,MN
28,Mississippi,604,2.02,MS
29,Missouri,803,1.32,MO
30,Montana,204,1.97,MT
31,Nebraska,218,1.15,NE
32,Nevada,297,1.03,NV
33,New Hampshire,103,0.77,NH
34,New Jersey,521,0.58,NJ
35,New Mexico,269,1.29,NM
36,New York,1061,0.54,NY
37,North Carolina,1275,1.27,NC
38,North Dakota,111,1.47,ND
39,Ohio,1029,0.89,OH
40,Oklahoma,590,1.51,OK
41,Oregon,411,1.02,OR
42,Pennsylvania,1102,0.86,PA
44,Rhode Island,41,0.39,RI
45,South Carolina,911,1.86,SC
46,South Dakota,116,1.35,SD
47,Tennessee,888,1.35,TN
48,Texas,3190,1.16,TX
49,Utah,258,0.86,UT
50,Vermont,50,0.8,VT
51,Virginia,712,0.85,VA
53,Washington,499,0.7,WA
54,West Virginia,246,1.33,WV
55,Wisconsin,523,0.91,WI
56,Wyoming,129,2.2,WY
