state_number,state_name,consecutive_number,vehicle_make,alcohol,drug,sex,age,state_code
19,Iowa,190179,Dodge,0,0,Male,70,IA
19,Iowa,190046,Pontiac,1,0,Male,20,IA
19,Iowa,190152,Honda,0,0,Male,36,IA
19,Iowa,190051,Volkswagen,1,0,Male,20,IA
19,Iowa,190198,Chevrolet,0,0,Female,24,IA
19,Iowa,190273,Dodge,0,0,Male,37,IA
19,Iowa,190008,Ford,0,0,Male,46,IA
19,Iowa,190281,Chevrolet,0,0,Female,20,IA
19,Iowa,190248,GMC,0,0,Female,14,IA
19,Iowa,190116,Ford,0,0,Female,18,IA
19,Iowa,190123,Ford,0,0,Male,57,IA
19,Iowa,190207,Honda,0,0,Male,80,IA
19,Iowa,190045,Pontiac,0,0,Female,19,IA
19,Iowa,190151,Mazda,0,0,Male,57,IA
19,Iowa,190195,Harley-Davidson,0,0,Male,29,IA
19,Iowa,190258,Pontiac,1,0,Male,22,IA
19,Iowa,190011,Saturn,0,0,Female,56,IA
19,Iowa,190112,Chevrolet,1,0,Male,24,IA
19,Iowa,190257,Mazda,0,0,Female,16,IA
19,Iowa,190262,Pontiac,1,0,Female,26,IA
19,Iowa,190040,Oldsmobile,1,1,Male,23,IA
19,Iowa,190120,Cadillac,0,0,Male,32,IA
19,Iowa,190275,Chevrolet,0,0,Male,28,IA
19,Iowa,190246,Ford,0,0,Male,19,IA
19,Iowa,190125,Ford,0,1,Female,41,IA
19,Iowa,190233,Ford,1,1,Male,25,IA
19,Iowa,190001,Mercury,1,0,Male,27,IA
19,Iowa,190274,Jeep/Kaiser-Jeep/Willys Jeep,0,0,Male,22,IA
19,Iowa,190231,Jeep/Kaiser-Jeep/Willys Jeep,0,1,Male,60,IA
19,Iowa,190204,Chevrolet,1,1,Male,33,IA
19,Iowa,190054,Jeep/Kaiser-Jeep/Willys Jeep,1,0,Male,58,IA
19,Iowa,190069,Ford,1,0,Male,56,IA
19,Iowa,190164,Dodge,0,0,Female,70,IA
19,Iowa,190197,Datsun/Nissan,1,0,Male,45,IA
19,Iowa,190190,Kawasaki,0,0,Female,56,IA
19,Iowa,190205,Harley-Davidson,0,1,Male,38,IA
19,Iowa,190205,Kenworth,0,0,Male,61,IA
19,Iowa,190109,Chrysler,0,0,Female,15,IA
19,Iowa,190122,Harley-Davidson,0,0,Male,42,IA
19,Iowa,190135,"Other Make
Auto-Union-DKW
Carpenter
Collins Bus
DINA
Divco
Hino
Mid Bus
Neoplan
Orion
Oshkosh
Scania
Sterling
UD
Van Hool
Western Star",1,0,Male,59,IA
19,Iowa,190213,Freightliner,0,0,Male,63,IA
19,Iowa,190220,Jeep/Kaiser-Jeep/Willys Jeep,0,0,Male,25,IA
19,Iowa,190052,Ford,0,0,Male,21,IA
19,Iowa,190260,Yamaha,0,0,Male,26,IA
19,Iowa,190076,"Other Make
Auto-Union-DKW
Carpenter
Collins Bus
DINA
Divco
Hino
Mid Bus
Neoplan
Orion
Oshkosh
Scania
Sterling
UD
Van Hool
Western Star",0,0,Male,8,IA
19,Iowa,190161,Ford,1,0,Male,23,IA
19,Iowa,190028,Jeep/Kaiser-Jeep/Willys Jeep,1,1,Male,24,IA
19,Iowa,190128,GMC,1,0,Female,25,IA
19,Iowa,190199,Ford,0,0,Male,70,IA
19,Iowa,190284,Chevrolet,0,0,Male,71,IA
19,Iowa,190193,Oldsmobile,1,0,Male,32,IA
19,Iowa,190232,Chevrolet,0,0,Male,41,IA
19,Iowa,190108,Buick/Opel,0,0,Male,21,IA
19,Iowa,190183,Chevrolet,0,0,Female,22,IA
19,Iowa,190165,Unknown Make,0,0,Unknown,999,IA
19,Iowa,190165,Chrysler,0,0,Female,74,IA
19,Iowa,190148,Chevrolet,0,1,Male,29,IA
19,Iowa,190252,Dodge,0,0,Male,23,IA
19,Iowa,190225,Ford,1,0,Male,25,IA
19,Iowa,190223,Dodge,0,0,Female,47,IA
19,Iowa,190266,Ford,0,0,Male,24,IA
19,Iowa,190072,Kenworth,0,0,Male,48,IA
19,Iowa,190166,Unknown Make,1,0,Male,37,IA
19,Iowa,190239,Honda,0,0,Male,35,IA
19,Iowa,190218,Chrysler,0,0,Male,24,IA
19,Iowa,190121,Saturn,0,1,Male,29,IA
19,Iowa,190212,Ford,0,0,Male,20,IA
19,Iowa,190272,Mitsubishi,0,0,Male,19,IA
19,Iowa,190241,Jeep/Kaiser-Jeep/Willys Jeep,0,0,Male,44,IA
19,Iowa,190255,Acura,0,0,Male,48,IA
19,Iowa,190035,Mercury,0,0,Female,19,IA
19,Iowa,190267,"Other Make
Auto-Union-DKW
Carpenter
Collins Bus
DINA
Divco
Hino
Mid Bus
Neoplan
Orion
Oshkosh
Scania
Sterling
UD
Van Hool
Western Star",0,0,Male,23,IA
19,Iowa,190027,Dodge,0,0,Male,27,IA
19,Iowa,190133,Chevrolet,0,0,Male,18,IA
19,Iowa,190259,Ford,0,0,Male,28,IA
19,Iowa,190238,Saturn,0,0,Male,25,IA
19,Iowa,190073,Freightliner,0,0,Male,47,IA
19,Iowa,190141,Toyota,0,0,Female,23,IA
